Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.426796328,Correct,1013.608468,313.8659915,3.563394523,1000,309.5299829,4.560777968,0,1013.608225,313.8665283,70,2,1,1,4,2,2,1
BERT-LARGE,0.426796328,Correct,786.7185672,320.881403,3.563394523,800,309.5299829,4.560777968,0,786.7072919,320.8654476,70,2,1,1,4,2,2,1
GLOVE-CNN,0.426796328,Correct,199.394025,309.5359844,3.563394523,200,309.5299829,4.560777968,0,199.388633,309.5728285,70,2,1,1,4,2,2,1
GLOVE-LSTM,0.426796328,Correct,356.9100837,310.1173852,3.563394523,400,309.5299829,4.560777968,0,357.0441842,310.0515532,70,2,1,1,4,2,2,1
ROBERTA-LARGE,0.426796328,Correct,643.980774,310.3012628,3.563394523,600,309.5299829,4.560777968,0,643.9832017,310.3210511,70,2,1,1,4,2,2,1
BERT-BASE,0.429174973,Correct,950.3100858,310.6744658,3.57210772,1000,308.2455146,4.575049838,0,950.3208579,310.6497297,61,2,1,1,4,2,2,1
BERT-LARGE,0.429174973,Correct,821.9188387,314.2623198,3.57210772,800,308.2455146,4.575049838,0,821.9149348,314.2797341,61,2,1,1,4,2,2,1
GLOVE-CNN,0.429174973,Correct,153.1157608,298.4050705,3.57210772,200,308.2455146,4.575049838,0,153.1356818,298.4310843,61,2,1,1,4,2,2,1
GLOVE-LSTM,0.429174973,Correct,384.0808181,314.0262417,3.57210772,400,308.2455146,4.575049838,0,384.1197162,313.9841427,61,2,1,1,4,2,2,1
ROBERTA-LARGE,0.429174973,Correct,607.3522675,314.6904597,3.57210772,600,308.2455146,4.575049838,0,607.3594087,314.6786462,61,2,1,1,4,2,2,1
BERT-BASE,0.433368153,Correct,980.969647,308.381033,3.587467727,1000,305.9811974,4.600208918,0,980.9411211,308.3799818,1,2,1,1,4,2,2,1
BERT-LARGE,0.433368153,Correct,849.7263598,313.6826237,3.587467727,800,305.9811974,4.600208918,0,849.7585322,313.6938652,1,2,1,1,4,2,2,1
GLOVE-CNN,0.433368153,Correct,220.009925,310.9594576,3.587467727,200,305.9811974,4.600208918,0,220.0246927,310.9578886,1,2,1,1,4,2,2,1
GLOVE-LSTM,0.433368153,Correct,450.8025774,316.0052793,3.587467727,400,305.9811974,4.600208918,0,450.7457455,315.977706,1,2,1,1,4,2,2,1
ROBERTA-LARGE,0.433368153,Correct,653.4645313,314.4375196,3.587467727,600,305.9811974,4.600208918,0,653.4710997,314.4619667,1,2,1,1,4,2,2,1
BERT-BASE,0.435560029,Correct,945.3116325,301.8203343,3.595496772,1000,304.7975843,4.613360174,0,945.3065683,301.8057199,69,2,1,1,4,2,2,1
BERT-LARGE,0.435560029,Correct,825.8570593,286.7375028,3.595496772,800,304.7975843,4.613360174,0,825.8815369,286.7574982,69,2,1,1,4,2,2,1
GLOVE-CNN,0.435560029,Incorrect,152.76415,316.2610331,3.595496772,200,304.7975843,4.613360174,0,152.7623303,316.2983124,69,2,1,1,4,2,2,1
GLOVE-LSTM,0.435560029,Correct,393.1582814,309.4981372,3.595496772,400,304.7975843,4.613360174,0,393.1318827,309.5244883,69,2,1,1,4,2,2,1
